LanguagePack ru-RU|Перевод
nimbits-pricerequests.fail.alert|Запрос не был отправлен — произошла ошибка. Повторите попытку.
nimbits-pricerequests.finish.alert|Запрос успешно отправлен
nimbits-pricerequests.finish.buttonBack|Вернуться в магазин
nimbits-pricerequests.listing.button.openrequestform|Запросить предложение
nimbits-pricerequests.listing.text.priceonrequest|Цена по запросу
nimbits-pricerequests.mail.address|Адрес
nimbits-pricerequests.mail.amount|Сумма
nimbits-pricerequests.mail.article|Статья
nimbits-pricerequests.mail.city|Город
nimbits-pricerequests.mail.comment|Комментарий клиентов
nimbits-pricerequests.mail.company|Компания
nimbits-pricerequests.mail.country|Страна
nimbits-pricerequests.mail.customersendername|Цена по запросу
nimbits-pricerequests.mail.housenumber|Номер дома
nimbits-pricerequests.mail.mail|Почта
nimbits-pricerequests.mail.name|Имя
nimbits-pricerequests.mail.ordernumber|Номер заказа
nimbits-pricerequests.mail.price|Цена
nimbits-pricerequests.mail.pricegross|Вкл. Налог
nimbits-pricerequests.mail.pricegrosssum|Вкл. Сумма налога
nimbits-pricerequests.mail.pricenet|Исключ. Налог
nimbits-pricerequests.mail.pricenetsum|Исключ. Сумма налога
nimbits-pricerequests.mail.requestfirst|Запрос цены от
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|Цена по запросу
nimbits-pricerequests.mail.street|Улица
nimbits-pricerequests.mail.subject|Цена по запросу
nimbits-pricerequests.mail.subjectcart|Запрос на корзину
nimbits-pricerequests.mail.subjectshopowner|Цена по запросу
nimbits-pricerequests.mail.subjectshopownercart|Запрос на корзину
nimbits-pricerequests.mail.zipcode|Почтовый индекс
nimbits-pricerequests.popup.city|Город
nimbits-pricerequests.popup.closebutton|Закрыть
nimbits-pricerequests.popup.company|Компания
nimbits-pricerequests.popup.country|Страна
nimbits-pricerequests.popup.dataprivacytext|"Я прочитал, понял и согласен с <a href=""/privacy"" target=""_blank"" rel=""noreferrer noopener""> Политикой конфиденциальности </a>."
nimbits-pricerequests.popup.desiredprice|Желаемая цена в 
nimbits-pricerequests.popup.entervalidcity|Введите действительный город.
nimbits-pricerequests.popup.entervalidcountry|Введите действительную страну.
nimbits-pricerequests.popup.entervalidhousenumber|Введите действительный номер дома.
nimbits-pricerequests.popup.entervalidmail|Введите действительный адрес электронной почты.
nimbits-pricerequests.popup.entervalidstreet|Введите допустимую улицу.
nimbits-pricerequests.popup.entervalidzipcode|Введите действительный почтовый индекс.
nimbits-pricerequests.popup.genderm|Мистер
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|Миссис
nimbits-pricerequests.popup.housenumber|Номер дома
nimbits-pricerequests.popup.mail|Адрес электронной почты
nimbits-pricerequests.popup.name|Имя
nimbits-pricerequests.popup.optional|(необязательно)
nimbits-pricerequests.popup.phonenumber|Телефон
nimbits-pricerequests.popup.popupTitle|Запросить предложение
nimbits-pricerequests.popup.product|Продукт(-ы) в этом запросе:
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|Запрос
nimbits-pricerequests.popup.requestbutton|Запрос
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|Поля, отмеченные *, являются обязательными.
nimbits-pricerequests.popup.salutation|Приветствие
nimbits-pricerequests.popup.street|Улица
nimbits-pricerequests.popup.surname|Фамилия
nimbits-pricerequests.popup.text|Запрос предложения для выбранных продуктов
nimbits-pricerequests.popup.zipcode|Почтовый индекс
nimbits-pricerequests.search.text.priceonrequest|Цена по запросу
nimbits-pricerequests.toasts.error|Запрос не был отправлен — произошла ошибка. Повторите попытку.
nimbits-pricerequests.toasts.success|Запрос успешно отправлен
priceRequest.newsletterText|Настоящим я соглашаюсь с тем, что компания TENTE может также информировать меня по электронной почте и телефону о продуктах и мероприятиях (например, о выставках) компании TENTE.
priceRequest.sendRequestText|Запрос будет передан...
priceRequest.waitText|Подождите...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|Выберите вариант...
theme.compilation.async.success|Компиляция канала продаж %salesChannelName% завершена
vdct-simple-events.events.detail.to-event|К мероприятию
zeobv-store-switcher.switchStoreLabel|Хранилище коммутаторов
