LanguagePack bg-BG|Превод
nimbits-pricerequests.detail.restock|"{1} Налично след 1 ден|]1,Inf[Налично след %restockTime% дни"
nimbits-pricerequests.detail.text.priceonrequest|Цена при поискване
nimbits-pricerequests.fail.alert|Заявката не е изпратена - възникна грешка. Моля, опитайте отново.
nimbits-pricerequests.finish.alert|Заявката е изпратена успешно
nimbits-pricerequests.finish.buttonBack|Назад към магазина
nimbits-pricerequests.listing.button.openrequestform|Заявка за оферта
nimbits-pricerequests.listing.text.priceonrequest|Цена при поискване
nimbits-pricerequests.mail.address|Адрес
nimbits-pricerequests.mail.amount|Сума
nimbits-pricerequests.mail.article|Статия
nimbits-pricerequests.mail.city|Град
nimbits-pricerequests.mail.comment|Коментар на клиентите
nimbits-pricerequests.mail.company|Компания
nimbits-pricerequests.mail.country|Държава
nimbits-pricerequests.mail.customersendername|Цена по заявка
nimbits-pricerequests.mail.housenumber|Номер на къща
nimbits-pricerequests.mail.mail|Поща
nimbits-pricerequests.mail.name|Име
nimbits-pricerequests.mail.ordernumber|Номер на поръчката
nimbits-pricerequests.mail.price|Цена
nimbits-pricerequests.mail.pricegross|Вх. Данък
nimbits-pricerequests.mail.pricegrosssum|Вх. Данъчна сума
nimbits-pricerequests.mail.pricenet|Изключение. Данък
nimbits-pricerequests.mail.pricenetsum|Изключение. Данъчна сума
nimbits-pricerequests.mail.requestfirst|Заявка за цена от
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|Цена по заявка
nimbits-pricerequests.mail.street|Улица
nimbits-pricerequests.mail.subject|Цена по заявка
nimbits-pricerequests.mail.subjectcart|Заявка за количка
nimbits-pricerequests.mail.subjectshopowner|Цена по заявка
nimbits-pricerequests.mail.subjectshopownercart|Заявка за количка
nimbits-pricerequests.mail.zipcode|Пощенски код
nimbits-pricerequests.popup.city|Град
nimbits-pricerequests.popup.closebutton|Затваряне
nimbits-pricerequests.popup.company|Компания
nimbits-pricerequests.popup.country|Държава
nimbits-pricerequests.popup.dataprivacytext|"Прочетох, разбрах и се съгласявам с целта <a href=""/поверителност"" target=""_blank"" rel=""noreferrer noopener""> Политика за поверителност </a>."
nimbits-pricerequests.popup.desiredprice|Желана цена в 
nimbits-pricerequests.popup.entervalidcity|Моля, въведете валиден град.
nimbits-pricerequests.popup.entervalidcountry|Моля, въведете валидна държава.
nimbits-pricerequests.popup.entervalidhousenumber|Моля, въведете валиден домашен номер.
nimbits-pricerequests.popup.entervalidmail|Моля, въведете валиден имейл адрес.
nimbits-pricerequests.popup.entervalidstreet|Моля, въведете валидна улица.
nimbits-pricerequests.popup.entervalidzipcode|Моля, въведете валиден пощенски код.
nimbits-pricerequests.popup.genderm|Г-н
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|Г-жа
nimbits-pricerequests.popup.housenumber|Номер на къща
nimbits-pricerequests.popup.mail|Адрес по пощата
nimbits-pricerequests.popup.name|Име
nimbits-pricerequests.popup.optional|(по избор)
nimbits-pricerequests.popup.phonenumber|Телефон
nimbits-pricerequests.popup.popupTitle|Заявка за оферта
nimbits-pricerequests.popup.product|Продукт(и) в тази заявка:
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|Заявка
nimbits-pricerequests.popup.requestbutton|Заявка
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|Полетата, маркирани с *, са задължителни.
nimbits-pricerequests.popup.salutation|Поздрав
nimbits-pricerequests.popup.street|Улица
nimbits-pricerequests.popup.surname|Фамилно име
nimbits-pricerequests.popup.text|Поискайте оферта за избраните продукти
nimbits-pricerequests.popup.zipcode|Пощенски код
nimbits-pricerequests.search.text.priceonrequest|Цена при поискване
nimbits-pricerequests.toasts.error|Заявката не е изпратена - възникна грешка. Моля, опитайте отново.
nimbits-pricerequests.toasts.success|Заявката е изпратена успешно
priceRequest.newsletterText|С настоящото се съгласявам, че TENTE може също да ме информира по имейл и по телефона за продукти и събития (напр. търговски панаири) на TENTE.
priceRequest.sendRequestText|Заявката ще бъде предадена...
priceRequest.waitText|Моля, изчакайте...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|Изберете опция...
theme.compilation.async.success|Състав за канал за продажби %salesChannelName% завършен
vdct-simple-events.events.detail.to-event|Към събитието
zeobv-store-switcher.switchStoreLabel|Превключване на магазин
