LanguagePack uk-UA|Переклад
nimbits-pricerequests.detail.button.openrequestform|Запит пропозиції
nimbits-pricerequests.detail.restock|"{1} Доступно через 1 день|]1,Inf[ Доступно через %restockTime% днів"
nimbits-pricerequests.detail.text.priceonrequest|Ціна за запитом
nimbits-pricerequests.fail.alert|Запит не надіслано. Сталася помилка. Повторіть спробу.
nimbits-pricerequests.finish.alert|Запит успішно надіслано
nimbits-pricerequests.finish.buttonBack|Назад до магазину
nimbits-pricerequests.listing.button.openrequestform|Запит пропозиції
nimbits-pricerequests.listing.text.priceonrequest|Ціна за запитом
nimbits-pricerequests.mail.address|Адреса
nimbits-pricerequests.mail.amount|Сума
nimbits-pricerequests.mail.article|Стаття
nimbits-pricerequests.mail.city|Місто
nimbits-pricerequests.mail.comment|Коментар клієнтів
nimbits-pricerequests.mail.company|Компанія
nimbits-pricerequests.mail.country|Країна
nimbits-pricerequests.mail.customersendername|Ціна за запитом
nimbits-pricerequests.mail.housenumber|Номер будинку
nimbits-pricerequests.mail.mail|Поштова адреса
nimbits-pricerequests.mail.name|Назва
nimbits-pricerequests.mail.ordernumber|Номер замовлення
nimbits-pricerequests.mail.price|Ціна
nimbits-pricerequests.mail.pricegross|Включно з Податок
nimbits-pricerequests.mail.pricegrosssum|Включно з Сума податку
nimbits-pricerequests.mail.pricenet|За винятком Податок
nimbits-pricerequests.mail.pricenetsum|За винятком Сума податку
nimbits-pricerequests.mail.requestfirst|Запит ціни від
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|Ціна за запитом
nimbits-pricerequests.mail.street|Вулиця
nimbits-pricerequests.mail.subject|Ціна за запитом
nimbits-pricerequests.mail.subjectcart|Запит на мобільну стійку
nimbits-pricerequests.mail.subjectshopowner|Ціна за запитом
nimbits-pricerequests.mail.subjectshopownercart|Запит на мобільну стійку
nimbits-pricerequests.mail.zipcode|Поштовий індекс
nimbits-pricerequests.popup.city|Місто
nimbits-pricerequests.popup.closebutton|Закрити
nimbits-pricerequests.popup.company|Компанія
nimbits-pricerequests.popup.country|Країна
nimbits-pricerequests.popup.dataprivacytext|"Я прочитала, зрозуміла та погоджуюся з цільовим <a href=""/privacy"" target=""_blank""> Політика конфіденційності </a>."
nimbits-pricerequests.popup.desiredprice|Бажана ціна в 
nimbits-pricerequests.popup.entervalidcity|Введіть дійсне місто.
nimbits-pricerequests.popup.entervalidcountry|Введіть дійсну країну.
nimbits-pricerequests.popup.entervalidhousenumber|Введіть дійсний номер будинку.
nimbits-pricerequests.popup.entervalidmail|Введіть дійсну адресу електронної пошти.
nimbits-pricerequests.popup.entervalidstreet|Введіть дійсну вулицю.
nimbits-pricerequests.popup.entervalidzipcode|Введіть дійсний поштовий індекс.
nimbits-pricerequests.popup.genderm|Пан
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|Пані
nimbits-pricerequests.popup.housenumber|Номер будинку
nimbits-pricerequests.popup.mail|Поштова адреса
nimbits-pricerequests.popup.name|Назва
nimbits-pricerequests.popup.optional|(необов’язково)
nimbits-pricerequests.popup.phonenumber|Телефон
nimbits-pricerequests.popup.popupTitle|Запит пропозиції
nimbits-pricerequests.popup.product|Продукт(-и) у цьому запиті:
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|Запит
nimbits-pricerequests.popup.requestbutton|Запит
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|Поля, позначені *, є обов'язковими.
nimbits-pricerequests.popup.salutation|Заспокійливий
nimbits-pricerequests.popup.street|Вулиця
nimbits-pricerequests.popup.surname|Прізвище
nimbits-pricerequests.popup.text|Запит пропозиції для обраних продуктів
nimbits-pricerequests.popup.zipcode|Поштовий індекс
nimbits-pricerequests.search.text.priceonrequest|Ціна за запитом
nimbits-pricerequests.toasts.error|Запит не надіслано. Сталася помилка. Повторіть спробу.
nimbits-pricerequests.toasts.success|Запит успішно надіслано
priceRequest.newsletterText|Цим я погоджуюся, що компанія TENTE також може повідомляти мене електронною поштою та телефоном про продукти та події (наприклад, про торгівельно-високі прояви) компанії TENTE.
priceRequest.sendRequestText|Запит буде передано...
priceRequest.waitText|Зачекайте...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|Виберіть опцію...
theme.compilation.async.success|Компіляція для каналу продажу %salesChannelName% завершена
vdct-simple-events.events.detail.to-event|До заходу
zeobv-store-switcher.switchStoreLabel|Змінити магазин
