LanguagePack sr-RS|Prevod
moorl-merchant-finder.zipcodeCity|zipkod, grad
moorl-merchant-finder.zipcodeCityEnter|Unesite zipkod ili grad i pritisnite Enter
nimbits-pricerequests.cart.cartRequestButton|Zatražite ponudu
nimbits-pricerequests.cart.dontAddByProductNumber|Ovaj proizvod se ne može dodati u korpu.
nimbits-pricerequests.detail.available|Dostupno
nimbits-pricerequests.detail.button.openrequestform|Zatražite ponudu
nimbits-pricerequests.detail.restock|"{1} Dostupno za 1 dan|]1,Inf[dostupno za %restockTime% dana"
nimbits-pricerequests.detail.text.priceonrequest|Cena na zahtev
nimbits-pricerequests.fail.alert|Zahtev nije poslat - došlo je do greške. Pokušajte ponovo.
nimbits-pricerequests.finish.alert|Zahtev je uspešno poslat
nimbits-pricerequests.finish.buttonBack|Nazad u prodavnicu
nimbits-pricerequests.listing.button.openrequestform|Zatražite ponudu
nimbits-pricerequests.listing.text.priceonrequest|Cena na zahtev
nimbits-pricerequests.mail.address|Adresa
nimbits-pricerequests.mail.amount|Količina
nimbits-pricerequests.mail.article|Članak
nimbits-pricerequests.mail.city|Grad
nimbits-pricerequests.mail.comment|Komentari kupaca
nimbits-pricerequests.mail.company|Kompanija
nimbits-pricerequests.mail.country|Zemlja
nimbits-pricerequests.mail.customersendername|Cena na zahtev
nimbits-pricerequests.mail.housenumber|Broj kuće
nimbits-pricerequests.mail.mail|Pošta
nimbits-pricerequests.mail.name|Ime
nimbits-pricerequests.mail.ordernumber|Broj porudžbine
nimbits-pricerequests.mail.price|Cena
nimbits-pricerequests.mail.pricegross|Incl. Porez
nimbits-pricerequests.mail.pricegrosssum|Incl. Poreski zbir
nimbits-pricerequests.mail.pricenet|Ekskluzivno. Porez
nimbits-pricerequests.mail.pricenetsum|Ekskluzivno. Poreski zbir
nimbits-pricerequests.mail.requestfirst|Zahtev za cenu od
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|Cena na zahtev
nimbits-pricerequests.mail.street|Ulica
nimbits-pricerequests.mail.subject|Cena na zahtev
nimbits-pricerequests.mail.subjectcart|Zahtev za korpu
nimbits-pricerequests.mail.subjectshopowner|Cena na zahtev
nimbits-pricerequests.mail.subjectshopownercart|Zahtev za korpu
nimbits-pricerequests.mail.zipcode|Zipkod
nimbits-pricerequests.popup.city|Grad
nimbits-pricerequests.popup.closebutton|Zatvori
nimbits-pricerequests.popup.company|Kompanija
nimbits-pricerequests.popup.country|Zemlja
nimbits-pricerequests.popup.dataprivacytext|"Pročitao/la sam, razumeo/la i saglasan/na sam sa <a href=""/privatnošću"" target=""blank""> Politika privatnosti </a>."
nimbits-pricerequests.popup.desiredprice|Željena cena u 
nimbits-pricerequests.popup.entervalidcity|Molimo vas da unesete važeći grad.
nimbits-pricerequests.popup.entervalidcountry|Unesite važeću zemlju.
nimbits-pricerequests.popup.entervalidhousenumber|Unesite važeći kućni broj.
nimbits-pricerequests.popup.entervalidmail|Unesite važeću e-adresu.
nimbits-pricerequests.popup.entervalidstreet|Molimo vas da unesete važeću ulicu.
nimbits-pricerequests.popup.entervalidzipcode|Unesite važeći zip kod.
nimbits-pricerequests.popup.genderm|G.
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|Gospođa
nimbits-pricerequests.popup.housenumber|Broj kuće
nimbits-pricerequests.popup.mail|Poštanska adresa
nimbits-pricerequests.popup.name|Ime
nimbits-pricerequests.popup.optional|(opciono)
nimbits-pricerequests.popup.phonenumber|Telefon
nimbits-pricerequests.popup.popupTitle|Zatražite ponudu
nimbits-pricerequests.popup.product|Proizvod(i) u ovom zahtevu:
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|Zahtev
nimbits-pricerequests.popup.requestbutton|Zahtev
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|Polja označena sa * su obavezna.
nimbits-pricerequests.popup.salutation|Pozdrav
nimbits-pricerequests.popup.street|Ulica
nimbits-pricerequests.popup.surname|Ime
nimbits-pricerequests.popup.text|Zatražite ponudu za odabrane proizvode
nimbits-pricerequests.popup.zipcode|Zipkod
nimbits-pricerequests.search.text.priceonrequest|Cena na zahtev
nimbits-pricerequests.toasts.error|Zahtev nije poslat - došlo je do greške. Pokušajte ponovo.
nimbits-pricerequests.toasts.success|Zahtev je uspešno poslat
priceRequest.newsletterText|Ovim pristajem da me TENTE takođe može obavestiti putem e-pošte i telefona o proizvodima i događajima (npr. izgledima sajma) kompanije TENTE.
priceRequest.sendRequestText|Zahtev će biti prosleđen...
priceRequest.waitText|Molim vas sačekajte...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|Izaberite opciju...
theme.compilation.async.success|Kompilacija za kanal prodaje %salesChannelName% završena
vdct-simple-events.events.detail.to-event|Do događaja
zeobv-store-switcher.switchStoreLabel|Prebacivanje prodavnice
