LanguagePack zh-CN|翻译
nimbits-pricerequests.popup.popupTitle|请求录用
nimbits-pricerequests.popup.product|此请求中的产品（一个或多个）：
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|请求
nimbits-pricerequests.popup.requestbutton|请求
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|标有 * 的字段为必填字段。
nimbits-pricerequests.popup.salutation|称呼
nimbits-pricerequests.popup.street|街道
nimbits-pricerequests.popup.surname|姓氏
nimbits-pricerequests.popup.text|为所选产品申请优惠
nimbits-pricerequests.popup.zipcode|邮政编码
nimbits-pricerequests.search.text.priceonrequest|应要求提供价格
nimbits-pricerequests.toasts.error|请求未发送 - 发生错误。请重试。
nimbits-pricerequests.toasts.success|请求已成功发送
priceRequest.newsletterText|本人特此同意，TENTE 也可以通过电子邮件和电话将 TENTE 的产品和事件（例如，展会）告知本人。
priceRequest.sendRequestText|请求将被传输...
priceRequest.waitText|请稍候...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|选择选项...
theme.compilation.async.success|已完成销售渠道 %salesChannelName% 的编译
vdct-simple-events.events.detail.to-event|前往活动
zeobv-store-switcher.switchStoreLabel|切换商店
