LanguagePack ko-KR|번역
nimbits-pricerequests.fail.alert|요청이 전송되지 않았습니다. 오류가 발생했습니다. 다시 시도하십시오.
nimbits-pricerequests.finish.alert|요청이 성공적으로 전송되었습니다.
nimbits-pricerequests.finish.buttonBack|매장으로 돌아가기
nimbits-pricerequests.listing.button.openrequestform|제안 요청
nimbits-pricerequests.listing.text.priceonrequest|요청 시 가격
nimbits-pricerequests.mail.address|주소
nimbits-pricerequests.mail.amount|금액
nimbits-pricerequests.mail.article|기사
nimbits-pricerequests.mail.city|도시
nimbits-pricerequests.mail.comment|고객 의견
nimbits-pricerequests.mail.company|회사
nimbits-pricerequests.mail.country|국가
nimbits-pricerequests.mail.customersendername|요청 시 가격
nimbits-pricerequests.mail.housenumber|하우스 번호
nimbits-pricerequests.mail.mail|우편
nimbits-pricerequests.mail.name|이름
nimbits-pricerequests.mail.ordernumber|주문 번호
nimbits-pricerequests.mail.price|가격
nimbits-pricerequests.mail.pricegross|포함 세금
nimbits-pricerequests.mail.pricegrosssum|포함 세금 합계
nimbits-pricerequests.mail.pricenet|제외 세금
nimbits-pricerequests.mail.pricenetsum|제외 세금 합계
nimbits-pricerequests.mail.requestfirst|가격 요청
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|요청 시 가격
nimbits-pricerequests.mail.street|거리
nimbits-pricerequests.mail.subject|요청 시 가격
nimbits-pricerequests.mail.subjectcart|카트 요청
nimbits-pricerequests.mail.subjectshopowner|요청 시 가격
nimbits-pricerequests.mail.subjectshopownercart|카트 요청
nimbits-pricerequests.mail.zipcode|우편번호
nimbits-pricerequests.popup.city|도시
nimbits-pricerequests.popup.closebutton|닫기
nimbits-pricerequests.popup.company|회사
nimbits-pricerequests.popup.country|국가
nimbits-pricerequests.popup.dataprivacytext|본인은 <a href=가정/개인정보 보호 대상=가정 정보 보호 정책 </a>을 읽고 이해했으며 이에 동의합니다.
nimbits-pricerequests.popup.desiredprice|원하는 가격 
nimbits-pricerequests.popup.entervalidcity|유효한 도시를 입력하십시오.
nimbits-pricerequests.popup.entervalidcountry|유효한 국가를 입력하십시오.
nimbits-pricerequests.popup.entervalidhousenumber|유효한 집 번호를 입력하십시오.
nimbits-pricerequests.popup.entervalidmail|유효한 이메일 주소를 입력하십시오.
nimbits-pricerequests.popup.entervalidstreet|유효한 거리를 입력하십시오.
nimbits-pricerequests.popup.entervalidzipcode|유효한 우편번호를 입력하십시오.
nimbits-pricerequests.popup.genderm|미스터
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|미스
nimbits-pricerequests.popup.housenumber|하우스 번호
nimbits-pricerequests.popup.mail|우편 주소
nimbits-pricerequests.popup.name|이름
nimbits-pricerequests.popup.optional|(선택 사항)
nimbits-pricerequests.popup.phonenumber|전화
nimbits-pricerequests.popup.popupTitle|제안 요청
nimbits-pricerequests.popup.product|이 요청의 제품(들):
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|요청
nimbits-pricerequests.popup.requestbutton|요청
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|*로 표시된 필드는 필수입니다.
nimbits-pricerequests.popup.salutation|인사말
nimbits-pricerequests.popup.street|거리
nimbits-pricerequests.popup.surname|성
nimbits-pricerequests.popup.text|선택한 제품에 대한 제안 요청
nimbits-pricerequests.popup.zipcode|우편번호
nimbits-pricerequests.search.text.priceonrequest|요청 시 가격
nimbits-pricerequests.toasts.error|요청이 전송되지 않았습니다. 오류가 발생했습니다. 다시 시도하십시오.
nimbits-pricerequests.toasts.success|요청이 성공적으로 전송되었습니다.
priceRequest.newsletterText|본인은 TENTE가 또한 TENTE의 제품 및 행사(예: 무역박람회 출연)에 대해 이메일 및 전화로 본인에게 알릴 수 있음에 동의합니다.
priceRequest.sendRequestText|요청이 전송됩니다...
priceRequest.waitText|기다려 주십시오...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|옵션 선택...
theme.compilation.async.success|영업 채널 %salesChannelName%에 대한 컴파일 완료
vdct-simple-events.events.detail.to-event|이벤트로 이동
zeobv-store-switcher.switchStoreLabel|매장 전환
