TENTE ja-JP|翻訳
moorl-merchant-finder.searchRules.isNotHighlighted|通常の加盟店
moorl-merchant-finder.selectedMerchant|選択した加盟店
moorl-merchant-finder.sendMail|メール
moorl-merchant-finder.shop|ショップ
moorl-merchant-finder.shopUrl|ショップを見る
moorl-merchant-finder.stockInfo|在庫情報
moorl-merchant-finder.tags|タグ
moorl-merchant-finder.thereAre|あるのは 
moorl-merchant-finder.www|WWW は
moorl-merchant-finder.zipcodeCity|郵便番号、市区町村
moorl-merchant-finder.zipcodeCityEnter|郵便番号または都市を入力し、Enterキーを押します
nimbits-pricerequests.cart.cartRequestButton|オファーをリクエストする
nimbits-pricerequests.cart.dontAddByProductNumber|この製品はカートに追加できません。
nimbits-pricerequests.detail.available|利用可能
nimbits-pricerequests.detail.button.openrequestform|オファーをリクエストする
nimbits-pricerequests.detail.restock|"{1} 1日で利用可能|]1,Inf[ %restockTime%日で利用可能"
nimbits-pricerequests.detail.text.priceonrequest|ご要望による価格
nimbits-pricerequests.fail.alert|リクエストは送信されませんでした。エラーが発生しました。もう一度お試しください。
nimbits-pricerequests.finish.alert|リクエストが正常に送信されました
nimbits-pricerequests.finish.buttonBack|ショップに戻る
nimbits-pricerequests.listing.button.openrequestform|オファーをリクエストする
nimbits-pricerequests.listing.text.priceonrequest|ご要望による価格
nimbits-pricerequests.mail.address|アドレス
nimbits-pricerequests.mail.amount|金額
nimbits-pricerequests.mail.article|記事
nimbits-pricerequests.mail.city|市区町村
nimbits-pricerequests.mail.comment|顧客コメント
nimbits-pricerequests.mail.company|会社
nimbits-pricerequests.mail.country|国
nimbits-pricerequests.mail.customersendername|リクエスト時の価格
nimbits-pricerequests.mail.housenumber|家屋番号
nimbits-pricerequests.mail.mail|メール
nimbits-pricerequests.mail.name|名前
nimbits-pricerequests.mail.ordernumber|注文番号
nimbits-pricerequests.mail.price|価格
nimbits-pricerequests.mail.pricegross|含まれるもの 税金
nimbits-pricerequests.mail.pricegrosssum|含まれるもの 税金合計
nimbits-pricerequests.mail.pricenet|除外 税金
nimbits-pricerequests.mail.pricenetsum|除外 税金合計
nimbits-pricerequests.mail.requestfirst|から価格リクエスト
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|リクエスト時の価格
nimbits-pricerequests.mail.street|通り
nimbits-pricerequests.mail.subject|リクエスト時の価格
nimbits-pricerequests.mail.subjectcart|カートリクエスト
nimbits-pricerequests.mail.subjectshopowner|リクエスト時の価格
nimbits-pricerequests.mail.subjectshopownercart|カートリクエスト
nimbits-pricerequests.mail.zipcode|郵便番号
nimbits-pricerequests.popup.city|市区町村
nimbits-pricerequests.popup.closebutton|閉じる
nimbits-pricerequests.popup.company|会社
nimbits-pricerequests.popup.country|国
nimbits-pricerequests.popup.dataprivacytext|私は、I have read, understood and agree to the <a href=""/privacy""> Privacy Policy </a>.
nimbits-pricerequests.popup.desiredprice|希望価格 
nimbits-pricerequests.popup.entervalidcity|有効な都市を入力してください。
nimbits-pricerequests.popup.entervalidcountry|有効な国を入力してください。
nimbits-pricerequests.popup.entervalidhousenumber|有効な家屋番号を入力してください。
nimbits-pricerequests.popup.entervalidmail|有効なEメールアドレスを入力してください。
nimbits-pricerequests.popup.entervalidstreet|有効な番地を入力してください。
nimbits-pricerequests.popup.entervalidzipcode|有効な郵便番号を入力してください。
nimbits-pricerequests.popup.genderm|ミスター
nimbits-pricerequests.popup.gendern|Mx さん
nimbits-pricerequests.popup.genderw|ミセス
nimbits-pricerequests.popup.housenumber|家屋番号
nimbits-pricerequests.popup.mail|郵送先住所
nimbits-pricerequests.popup.name|名前
nimbits-pricerequests.popup.optional|（オプション）
nimbits-pricerequests.popup.phonenumber|電話
nimbits-pricerequests.popup.popupTitle|オファーをリクエストする
nimbits-pricerequests.popup.product|このリクエストの製品（複数可）：
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 個 
nimbits-pricerequests.popup.request|リクエスト
nimbits-pricerequests.popup.requestbutton|リクエスト
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|*のマークが付いたフィールドは必須です。
nimbits-pricerequests.popup.salutation|挨拶
nimbits-pricerequests.popup.street|通り
nimbits-pricerequests.popup.surname|姓
nimbits-pricerequests.popup.text|選択した製品のオファーをリクエストする
nimbits-pricerequests.popup.zipcode|郵便番号
nimbits-pricerequests.search.text.priceonrequest|ご要望による価格
nimbits-pricerequests.toasts.error|リクエストが送信されませんでした。エラーが発生しました。もう一度お試しください。
nimbits-pricerequests.toasts.success|リクエストが正常に送信されました
priceRequest.newsletterText|私は、TENTEの製品およびイベント（見本市の出演など）について、TENTEがEメールおよび電話で私に通知する場合があることに同意します。
priceRequest.sendRequestText|リクエストが送信されます...
priceRequest.waitText|お待ちください...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|オプションを選択...
theme.compilation.async.success|販売チャネル%salesChannelName%のコンパイルが完了しました
vdct-simple-events.events.detail.to-event|イベントへ
zeobv-store-switcher.switchStoreLabel|店舗の切り替え
